Key,Value
291,"¿Debo entender que os gustaría depositar[/left]
todas vuestras cartas de crédito?[/end]"
292,"No tenéis tanto en vuestra cuenta. Necesito[/center]
tener el importe total de la carta de[/center]
crédito, más una comisión del uno por ciento.[/center]
[/end]"
293,"No firmamos cartas de crédito por menos[/center]
de cien piezas de oro.[/center]
[/end]"
294,"Es muy generoso por vuestra parte, pero no[/center]
aceptamos pagos en exceso. Aquí tenéis vuestro[/center]
cambio. Vuestro préstamo está ahora pagado"".[/center]
[/end]"
295,"Me temo que no podemos prestar tanto oro[/center]
a una persona de vuestra posición. Para vos,[/center]
nuestro límite es de %ml piezas de oro.[/center]
[/end]"
296,"No concedemos préstamos por menos de cien[/center]
piezas de oro.[/center]
[/end]"
297,"¡Reclamo la recompensa para el banco de[/center]
%reg! ¡Habéis incumplido vuestro préstamo y[/center]
ahora debéis pagar la penalización![/center]
[/end]"
298,"Compraríamos gustosamente vuestra casa por la[/center]
generosa suma de %a piezas de[/center]
oro. Todos los objetos dentro de la casa pasan[/center]
a ser propiedad del banco. ¿Estáis preparado[/center]
para transferir la propiedad ahora?[/center]
[/end]"
299,"Vuestro barco vale %a piezas de[/center]
oro para nosotros. Tened en cuenta que todo lo[/center]
que haya a bordo pasará a ser propiedad del banco.[/center]
¿Deseáis vender vuestro barco ahora?[/center]
[/end]"
300,"Deben seleccionarse tres habilidades primarias, tres[/center]
principales y seis secundarias antes de salir.[/center]
[/end]"
301,"Nombrad la clase de vuestro personaje antes de salir.[/center]
[/end]"
302,"La flecha de atributos debe ser cero antes de salir.[/center]
[/end]"
303,"El balance de reputación debe ser cero antes de salir.[/center]
[/end]"
304,"No podéis seleccionar más ventajas.[/center]
[/end]"
305,"No podéis seleccionar más desventajas.[/center]
[/end]"
306,"La dificultad de avance no puede estar en[/center]
rojo. Seleccionad más ventajas para subirla,[/center]
o más desventajas para bajarla.[/center]
[/end]"
307,"Los reflejos del jugador determinan la velocidad[/center]
general del juego. Si elegís reflejos MUY ALTOS,[/center]
los monstruos se moverán y atacarán rápido,[/center]
obligándoos a ser ágil con los controles.[/center]
Reflejos MUY BAJOS significan que los monstruos[/center]
se moverán y atacarán despacio, permitiéndoos[/center]
un estilo de juego más cauteloso y reflexivo.[/center]
Vuestro personaje avanzará algo más despacio con[/center]
reflejos bajos, y algo más rápido con reflejos altos.[/center]
[/end]"
349,"Habéis terminado de merodear.[/center]
[/end]"
350,Estás curado.[/end]
351,No necesitas descansar.[/end]
352,¿Cuántas horas quieres descansar?[/end]
353,Te despiertas.[/end]
354,Hay enemigos cerca.[/end]
355,No puedes dormir ahora.[/end]
360,"Fuimos advertidos sobre vos, %pcn.[/center]
Incumpliste un préstamo en uno de nuestros[/center]
bancos hermanos. Este dinero se usará[/center]
para pagar esa deuda pendiente.[/center]
[/end]"
361,"Esta demo te permite acceder a esta función[/center]
del gremio. Normalmente tendrías que esperar[/center]
a alcanzar un rango más alto en el gremio[/center]
antes de que se te permitiera usarla.[/center]
[/end]"
362,"La invocación de Daedras no está disponible[/center]
en la versión demo de Daggerfall.[/center]
[/end]"
363,"En la versión completa de Daggerfall,[/center]
habrías recibido una mejora de habilidad.[/center]
Sin embargo, en la versión demo, tus[/center]
habilidades no pueden superar los 40 puntos.[/center]
[/end]"
364,"El tiempo límite de la demo de Daggerfall ha[/center]
expirado. Puedes encontrar Daggerfall en tu[/center]
tienda de software local.[/center]
[/end]"
400,"La función ChildGard impide que esta[/center]
misión se ejecute en este momento.[/center]
[/end]"
401,"La muerte no siempre es eterna. Para algunos[/center]
es simplemente un tiempo de espera. Ahora es[/center]
tu tiempo de espera. Sé paciente y todo[/center]
te será revelado...[/center]
[/end]"
402,"Soy el Maestro de Espías. Sé todo lo que[/center]
ocurre en la Bahía de Iliac. Otros podrán[/center]
contarte rumores, pero mis rumores siempre[/center]
son ciertos.[/center]
[/end]"
403,"¿Quieres restablecer los atributos de tu[/center]
personaje a sus valores originales?[/center]
[/end]"
454,No tienes suficiente oro.[/end]
460,"No os habéis ganado una casa, %pcn.[/center]
Solo los miembros de mayor rango del[/center]
gremio son galardonados con casas.[/center]
[/end]"
461,"Ya habéis recibido vuestra armadura por[/center]
vuestro rango actual. Cuando alcancéis[/center]
un rango superior en la orden, os[/center]
daré otra excelente pieza de armadura.[/center]
[/end]"
462,"¡Tengo una propiedad excelente para vos,[/center]
%pcn! Dejad que la marque en vuestro mapa.[/center]
[/end]"
463,"Tengo una buena pieza de armadura para vos.[/center]
[/end]"
465,"Veo que vuestra magia está baja. Vosotros,[/center]
los hechiceros, deberíais tener más cuidado.[/center]
Venid, dejad que os recargue.[/center]
[/record]
Es costumbre del gremio recargar la[/center]
magia de los hechiceros.[/center]
[/record]
Mmm. Esto no servirá. No podemos tener[/center]
hechiceros del gremio por ahí con poca[/center]
magia. Simplemente os recargaré.[/center]
[/end]"
475,Castillo de Daggerfall.[/end]
476,Castillo de Salto del Rey.[/end]
477,Castillo de Sentinel.[/end]
480,"No habrá invocaciones este día.[/center]
Sugiero que realicéis una investigación personal[/center]
para encontrar un día en el que realicemos[/center]
invocaciones.[/center]
[/record]
No invocaremos hoy. Sería un uso provechoso[/center]
de vuestro tiempo consultar en la biblioteca[/center]
del gremio. Hay varios libros sobre[/center]
invocaciones de Daedra, incluyendo las[/center]
fechas apropiadas para ello.[/center]
[/end]"
481,"Hoy es %dat, el día de invocación de[/center]
%dae. ¿Deseáis vos, %pcn, arriesgar[/center]
vuestra vida y vuestra propia alma invocando[/center]
a %dae a nuestro mundo mundano?[/center]
[/end]"
482,"Ya habéis invocado a %dae una vez.[/center]
Solo un necio buscaría hablar con %dae[/center]
una segunda vez. Largo de aquí.[/center]
[/end]"
484,"%dae no se dignó a honrar nuestro mundo esta[/center]
noche. Volved otro día si queréis hablar[/center]
con un Daedra.[/center]
[/end]"
499,"El trozo de pergamino muestra la ubicación[/center]
de %map. La anotas en tu mapa.[/center]
[/record]
Un vitela finamente dibujado revela la[/center]
ubicación secreta de %map, que anotas.[/center]
[/record]
Un mapa recién dibujado indica la ubicación[/center]
perdida de %map, que procedes a copiar.[/center]
[/end]"
500,"Trozos de cerámica rota crujen bajo tus pies.[/record]
Percibes un olor rancio.[/record]
Oyes un lamento distante y sobrenatural.[/end]"
501,"Notas rastros de orcos.[/record]
Rastros de orcos cubrent el suelo.[/record]
¿Era eso un sello orco?[/end]"
502,"Esta zona parece habitada.[/record]
Cruzas un sendero muy transitado.[/record]
Varios caballos pasaron por aquí hace poco.[/end]"
503,"Tropiezas con un grillete roto.[/record]
¿Es eso humo a lo lejos?[/record]
Una campana dobla a la distancia.[/end]"
504,"Bloques de mármol yacen cerca.[/record]
Pasas junto a una columna derribada.[/record]
Una estatua destrozada descansa aquí.[/end]"
505,"Hay montones de tierra por todas partes.[/record]
Surcos profundos marcan el suelo aquí.[/record]
Te desvías para evitar un foso abierto.[/end]"
506,"Un arroyo gorgotea cerca.[/record]
El aire parece más fresco aquí.[/record]
Eso casi parecía un sendero.[/end]"
