Key,Value
freeAction,Acción libre
heal,Curar
identify,Identificar
invisibility,Invisibilidad
levitate,Levitar
light,Luz
lock,Cerrar
morphSelf,Metamorfosis
open,Abrir
pacify,Pacificar
paralyze,Paralizar
regenerate,Regenerar
shadow,Sombra
shield,Escudo
silence,Silencio
slowfall,Caída lenta
soulTrap,Trampa de alma
spellReflection,Reflexión de hechizos
spellResistance,Resistencia a hechizos
teleport,Teletransporte
transfer,Transferencia
waterBreathing,Respiración acuática
waterWalking,Caminar sobre el agua
fire,Fuego
frost,Escarcha
magicka,Magia
poison,Veneno
shock,Descarga
enemy,Enemigo
magic,Magia
treasure,Tesoro
fatigue,Fatiga
health,Salud
spellPoints,Puntos de hechizo
disease,Enfermedad
paralyzation,Parálisis
animal,Animal
normal,Normal
TRUE,VERDADERO
noName,<sin-nombre>
youDontHaveTheSpellPoints,No tienes suficientes puntos de hechizo.
youAreSilenced,Has sido silenciado.
youAreParalyzed,Estás paralizado.
youFeelDrained,Te sientes drenado.
youAreFortified,Estás fortificado.
youAreInvisible,Eres invisible.
youAreLevitating,Estás levitando.
youAreRegenerating,Te estás regenerando.
youAreBlending,Te estás camuflando.
youAreAShade,Eres una sombra.
slowFallActive,Caída lenta activa.
saveVersusSpellMade,Tirada de salvación contra hechizo superada.
spellEffectFailed,El efecto del hechizo falló.
spellAbsorbed,El hechizo fue absorbido.
spellReflected,El hechizo fue reflejado.
spellResisted,El hechizo fue resistido.
readyToLock,Listo para cerrar.
readyToOpen,Listo para abrir.
doorLocked,La puerta ahora está cerrada.
doorAlreadyLocked,La puerta ya estaba cerrada.
openFailed,La cerradura es demasiado poderosa.
noSpellbook,¡No tienes libro de hechizos!
sunlightDamageFastTravelDay,No puedes iniciar un viaje rápido durante el día.
trapActive,Trampa activa.
trapHumanoid,La trampa no funcionará con humanoides.
trapSuccess,Alma atrapada.
trapFail,La trampa falló.
trapNoneEmpty,¡No tienes trampas de alma vacías!
stamina,Aguante
orcStrength,Fuerza de orco
healing,Sanación
restorePower,Restaurar poder
resistFire,Resistir fuego
resistFrost,Resistir escarcha
resistShock,Resistir descarga
cureDisease,Curar enfermedad
slowFalling,Caída lenta
healTrue,Sanación verdadera
levitation,Levitación
resistPoison,Resistir veneno
curePoison,Curar veneno
chameleonForm,Forma de camaleón
shadowForm,Forma de sombra
purification,Purificación
LeatherCuirass,Coraza de cuero
LeatherGauntlets,Guanteletes de cuero
LeatherGreaves,Grebas de cuero
LeatherLeftPauldron,Hombrera izquierda de cuero
LeatherRightPauldron,Hombrera derecha de cuero
LeatherHelm,Yelmo de cuero
LeatherBoots,Botas de cuero
ChainCuirass,Coraza de malla
ChainGauntlets,Guanteletes de malla
ChainGreaves,Grebas de malla
ChainLeftPauldron,Hombrera izquierda de malla
ChainRightPauldron,Hombrera derecha de malla
ChainHelm,Yelmo de malla
ChainBoots,Botas de malla
SteelCuirass,Coraza de acero
SteelGauntlets,Guanteletes de acero
SteelGreaves,Grebas de acero
SteelLeftPauldron,Hombrera izquierda de acero
SteelRightPauldron,Hombrera derecha de acero
SteelHelm,Yelmo de acero
SteelBoots,Botas de acero
SteelBuckler,Bocací de acero
SteelDagger,Daga de acero
SteelLongsword,Espada larga de acero
SteelStaff,Bastón de acero
ShortBow,Arco corto
Arrows,Flechas
SteelBattleAxe,Hacha de batalla de acero
Robes,Túnicas
CastWhenUsed,Lanza al usar:
CastWhenHeld,Lanza al llevar:
CastWhenStrikes,Lanza al golpear:
ExtraSpellPts,Puntos de hechizo extra
PotentVs,Potente contra
RegensHealth,Regenera salud
VampiricEffect,Efecto vampírico
IncreasedWeightAllowance,Capacidad de carga aumentada
RepairsObjects,Repara objetos
AbsorbsSpells,Absorbe hechizos
EnhancesSkill,Mejora habilidad
FeatherWeight,Peso pluma
StrengthensArmor,Refuerza la armadura
ImprovesTalents,Mejora talentos
GoodRepWith,Buena rep. con
SoulBound,Alma vinculada
ItemDeteriorates,El objeto se deteriora
UserTakesDamage,El usuario recibe daño
VisionProblems,Problemas de visión
WalkingProblems,Problemas al caminar
LowDamageVs,Poco daño contra
HealthLeech,Drenaje de salud
BadReactionsFrom,Malas reacciones de
ExtraWeight,Peso extra
WeakensArmor,Debilita la armadura
BadRepWith,Mala rep. con
inHolyPlaces,en lugares sagrados
wheneverUsed,siempre que se use
unlessUsedDaily,a menos que se use a diario
unlessUsedWeekly,a menos que se use semanalmente
fromHumanoids,de humanoides
fromAnimals,de animales
fromDaedra,de Daedra
duringWinter,durante el invierno
duringSpring,durante la primavera
duringSummer,durante el verano
duringFall,durante el otoño
duringFullMoon,con luna llena
duringHalfMoon,con media luna
duringNewMoon,con luna nueva
nearUndead,cerca de muertos vivientes
nearDaedra,cerca de daedras
nearHumanoids,cerca de humanoides
nearAnimals,cerca de animales
undeadLower,muertos vivientes
humanoidLower,humanoide
animalsLower,animales
animalsUpper,Animales
allTheTime,todo el tiempo
inSunlight,bajo la luz del sol
inDarknessLower,en la oscuridad
atRange,a distancia
whenStrikes,al golpear
add25Percent,25% adicional
add50Percent,50% adicional
hearing,oído
athleticismLower,atletismo
adrenalineRushLower,subidón de adrenalina
commoners,Plebeyos
merchants,Mercaderes
scholars,Eruditos
nobility,Nobleza
underworld,Bajos fondos
all,Todos
noRoomInItem,No hay espacio en el objeto...
noEnchantments,No has preparado encantamientos para este objeto.
noMonstersNearby,No hay monstruos cerca.
Fire,Fuego
Frost,Escarcha
Poison,Veneno
Shock,Descarga
Magicka,Magia
Animal,Animal
Undead,Muerto viviente
Humanoid,Humanoide
Daedra,Daedra
dialogButtonInfo,Alternar entre: Misiones activas; Misiones finalizadas; Cuaderno; Mensajes
activeQuests,Misiones activas
activeQuestsInfo,Haz clic en una misión activa que tenga un lugar de destino para iniciar el viaje.
finishedQuests,Misiones finalizadas
finishedQuestsInfo,Haz clic en una entrada para moverla. Clic derecho para borrar.
notebook,Cuaderno
notebookInfo,Haz clic en una nota para moverla. Clic derecho para borrar. Haz clic en medio para añadir una nueva.
messages,Mensajes
messagesInfo,Historial de mensajes mostrados recientemente en pantalla.
confirmMoveHead,Mover entrada
confirmMove,¿Quieres cambiar la posición de esta entrada?
confirmMove2,(Se moverá justo antes de la siguiente entrada en la que hagas clic)
confirmRemoveHead,Borrar entrada
confirmRemove,¿Estás seguro de que quieres eliminar esta entrada?
confirmRemove2,(Se borrará permanentemente y no podrá ser restaurada)
confirmFindHead,Viajar al lugar
confirmFind,¿Quieres abrir el mapa del mundo para viajar a:
confirmFind2,(Nota: puedes cancelar el viaje desde el mapa del mundo)
enterNote,Introduce tu nota:
completedQuest,completada
endedQuest,finalizada
finishQuestHeader,{0} {1} en {2}:
quest,Misión
noteHeader,{0} en {1}:
houseDeed,"Has obtenido las escrituras y ahora posees una casa en %town, en la región de %region."
levelProgress,Progreso para el siguiente nivel: {0}%
readMap,Has descubierto la ubicación de %map tras estudiar un mapa.
readMapTG,El Gremio de Ladrones ha revelado el paradero secreto de un alijo de tesoros llamado %map.
readMapDB,La Hermandad Oscura ha revelado el secreto de unas criptas cargadas de tesoros en un lugar llamado %map.
readMapFail,Ya habías descubierto la ubicación que muestra este mapa.
howManyItems,¿Cuántos objetos quieres coger? (máx {0})
wagonFullGold,Tu carro solo ha podido albergar {0} piezas de oro.
itemsIdentified,Objetos identificados.
repairDone,LISTO
repairDays,%d días
interruptRepair,¿Recuperar el objeto antes de que termine de ser reparado?
repairNote,Dejé mi {0} para reparar en {1}.
doesntNeedIdentify,Esto no necesita ser identificado.
goldAmount,{0} piezas de oro
goldWeight,Peso: {0} kg
letterOfCredit,Se te ha pagado con una carta de crédito.
stealSuccess,Has tenido éxito.
stealFailure,No has tenido éxito...
cannotRemoveItem,No puedes quitar este objeto.
cannotCarryAnymore,No puedes cargar con más cosas.
cannotHoldAnymore,Tu carro no puede cargar con más cosas.
cannotUseThis,No puedes usar esto.
equippingWeapon,Equipando %s
lightDouse,Apagas el/la %it.
lightLight,Enciendes el/la %it.
lightDies,Tu %it parpadea y se apaga.
lightEmpty,Tu %it no tiene combustible.
lightRefuel,Repostas tu %it con una botella de aceite.
lightFull,Tu %it está lleno/a.
kgSrc,kilograms
kgRep,kg
damSrc,points of damage
damRep,daño
arSrc,armor rating
arRep,armadura
northern,(norte)
southern,(sur)
noWagon,No tienes un carro.
exitTooFar,La salida está demasiado lejos para acceder a tu carro.
bookUnavailable,El libro está arruinado y es ilegible.
unknownAuthor,autor desconocido
cannotDeleteVamp,No se pueden borrar los hechizos especiales de vampiro.
cannotDeleteWere,No se pueden borrar los hechizos especiales de licantropía.
noRecipes,No tienes recetas.
potionMixed,Tu poción ha sido mezclada.
potionFailed,Esos ingredientes no han producido una poción eficaz.
reqIngredients,No tienes los ingredientes necesarios.
region,Región
account,Cuenta
loan,Préstamo
dueDate,Fecha de vencimiento
noAccount,Ninguna
loanReminder,Tienes un préstamo de {0} piezas de oro que vence en
loanReminder2,menos de {0} meses en {1}
classicIcons,Clásicos
suggestedIcons,Sugeridos
serviceMembersOnly,Mis servicios están reservados solo para miembros.
serviceDonateHowMuch,Cuánto dinero quieres donar: 
curedDisease,Estás curado.
freeHolidayCuring,Has sido curado gratis debido a la festividad de hoy.
gettingQuests1,"Mmm, déjame ver qué tareas tenemos disponibles."
gettingQuests2,"Por favor, ten paciencia y espera aquí un momento, %pcf."
illegalRestWarning,Es ilegal acampar dentro o cerca de una ciudad. ¿Continuar?
cannotLoiterMoreThanXHours1,No puedes esperar más de
cannotLoiterMoreThanXHours2,{0} horas seguidas.
automapToolTipTextGridButton,clic izq: cambiar entre vista 2D superior y vista 3D (tecla: {0})\rclic der: resetear eje de rotación a pos. jugador (tecla: {1})\rrueda arriba sobre botón: inc. perspectiva (solo modo 3D)\rrueda abajo sobre botón: dec. perspectiva (solo modo 3D)
automapToolTipForwardButton,clic izq: mover punto de vista hacia adelante (tecla: {0})\rclic der: mover eje de rotación hacia adelante (tecla: {1})
automapToolTipBackwardButton,clic izq: mover punto de vista hacia atrás (tecla: {0})\rclic der: mover eje de rotación hacia atrás (tecla: {1})
automapToolTipLeftButton,clic izq: mover punto de vista a la izquierda (tecla: {0})\rclic der: mover eje de rotación a la izquierda (tecla: {1})
automapToolTipRightButton,clic izq: mover punto de vista a la derecha (tecla: {0})\rclic der: mover eje de rotación a la derecha (tecla: {1})
automapToolTipRotateLeftButton,clic izq: rotar mazmorra a la izquierda (tecla: {0})\rclic der: rotar cámara a la izquierda (tecla: {1})
automapToolTipRotateRightButton,clic izq: rotar mazmorra a la derecha (tecla: {0})\rclic der: rotar cámara a la derecha (tecla: {1})
automapToolTipUpstairsButton,clic izq: subir punto de vista (tecla: {0})\rclic der: subir nivel de corte (tecla: {1})\rel nivel de corte se ajusta también con el botón central del ratón\r\rnota: los modos de renderizado muestran geometría oculta:\rtecla {2}: modo recorte\rtecla {3}: modo alambre\rtecla {4}: modo transparente\rcambia entre modos con la tecla Enter\r
automapToolTipDownstairsButton,clic izq: bajar punto de vista (tecla: {0})\rclic der: bajar nivel de corte (tecla: {1})\rel nivel de corte se ajusta también con el botón central del ratón\r\rnota: los modos de renderizado muestran geometría oculta:\rtecla {2}: modo recorte\rtecla {3}: modo alambre\rtecla {4}: modo transparente\rcambia entre modos con la tecla Enter\r
automapToolTipPanelCompass,"clic izq: alternar enfoque (tecla: {0})\rbalizas: rojo... jugador, verde... entrada, azul... eje rotación\r\rclic der: resetear vista (tecla: {1})\r\rdoble clic izq. en ventana para crear+editar nota\rdoble clic izq. (+Ctrl) en ventana para crear marcador\rdoble clic izq. en un marcador para editar nota\rdoble clic der. en un marcador para borrarlo\rdoble clic der. en ventana para posicionar eje rotación\rdoble clic central en ventana para centrar vista\rdoble clic izq. en marcador de portal para saltar al destino"
automapPlayerPositionBeacon,baliza de posición del jugador
automapRotationPivotAxis,eje pivote de rotación
automapEntranceExitPositionBeacon,baliza de entrada/salida
automapEntranceExit,entrada/salida
